Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.273174,-116.094374,45.0,top
D1,132.311469,-113.552963,0.0,top
Q2,134.9864,-107.7408,0.0,top
R1,138.122326,-114.986436,270.0,top
R2,131.788512,-117.672913,270.0,top
R3,134.993841,-117.666836,270.0,top
SW1,124.6556,-108.5956,270.0,top
U1,130.1,-91.55,0.0,top
U2,149.4028,-91.5035,0.0,top
U3,149.6568,-111.8362,90.0,top
