Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.273174,-116.094374,45.0,top
D1,134.0,-109.295784,0.0,top
D2,133.96467,-105.5,0.0,top
D3,136.379602,-102.5252,180.0,top
J1,132.317968,-118.5,0.0,top
R1,130.683,-102.489,180.0,top
R2,131.9625,-112.5,0.0,top
R3,136.834357,-112.5,180.0,top
SW1,124.6556,-108.5956,270.0,top
U1,130.088324,-90.677267,0.0,top
U2,149.4028,-91.5035,0.0,top
U3,149.6568,-111.8362,90.0,top
